"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈŞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"5671","zh-TW","İÁõ½ÔÔåÇÙşûùÚÏÚªÎ½","https://tchinese.visitseoul.net/attractions/İÁõ½ÔÔåÇÙşûùÚÏÚªÎ½/TCP005667?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP005667","110-230 âÏì³ã¼ñ£ÖØÏ¡ß²?Ô× 35-91","110-230 âÏì³ã¼ñ£ÖØÏ¡İÁõ½ÖØ11Ê¶76 ","+82-2-2723-0190","","http://www.dymuseum.com","10:00 ~ 18:00 (õÌı­ìıíŞãÁÊà?øÍÎ½îñ1á³ãÁ)","ñÎì£~ñÎìí","ñÎìé","3ûÜàÊäÌÏĞó×2ûÜõóÏ¢ÜÆú¼700Íëô© ","ß²?Ô×,î÷ÕÂ,Ùşûù,İÁõ½ùÛè©õ½,İÁõ½,İÁõ½ÔÔåÇÙşûùÚÏÚªÎ½,ÔÔåÇÙşûù,ÎÃûùÚ¦,ÚÏÚªÎ½,äÌÏĞó×",""
"22853","zh-TW","Ø¿ú­ùÛ×£ê£ãüéÚíö","https://tchinese.visitseoul.net/attractions/Ø¿ú­ùÛ×£ê£ãüéÚíö/TCP001399?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP001399","136-824 âÏì³ã¼àòİÁÏ¡àòİÁÔ× 222-1 222-1","02879 âÏì³ã¼àòİÁÏ¡àòİÁÖØ29Ê¶24 ","+82-2-2241-2632","","http://www.sb.go.kr/tour/mainPage.do","09:00 - 18:00 (KST)","","îïÒ´ÙíıÌ","4ûÜàÊùÓàòÓŞùÊó×6ûÜõóÏ¢ÜÆú¼25İÂñ¤ûä÷³ã«1111¡¢2112Íëó³","àòİÁÔ×,ë¶ò£,û³ûù,ÕöŞÈÙşûù,ÕöŞÈ,ùÛ×£ê£,àòİÁÌØïÇ,ãüéÚíö,Ø¿ú­ùÛ×£ê£ãüéÚíö",""
"27906","en","Bukchon Woodwork Workshop","https://english.visitseoul.net/attractions/Bukchon-Woodcraft-Studio/ENP027813?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP027813","  ","03057 12 Gyedong 6-gil, Jongno-gu, Seoul  ","+82-2-725-1061",""," namoosory.modoo.at","Tue-Sat 10:00~17:00","Tuesday through Saturday","Monday, Sunday","704 meters from Exit 3 of Anguk Station on Line 3","Woodworking, Bukchon,Bukchon Hanok Village,OraeGage,Craft Experience, Exhibition, Craft",""
"2125","zh-CN","ß²?Ô×","https://chinese.visitseoul.net/attractions/ß²?Ô×-»ïÃ»µ¿-°ñ¸ñ±æ/CNP002121?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP002121","110-260 âÏ?ã¼?ÖØ?Ê©?Ô×ìé? ","110-260 âÏ?÷å?ã¼?ÖØ?ß²?ÖØ 99 ","+82-2-120","","","","","","3?? äÌ?ó×1?/2?/3?õóÏ¢, ÜÆú¼10İÂ?  ","ÒıêªÙşûùÍö?,ß²?Ô×,??",""
"2024","zh-CN","?Í¢ŞÑ","https://chinese.visitseoul.net/attractions/?Í¢ŞÑ2/CNP002021?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP002021","142-875 âÏ?Ë°İÁ?â©ëµ1Ô× ","01095 âÏ?ã¼Ë°İÁ??Í¢ŞÑÊ¶117 ","+82-2-902-2663","+82-2-990-1885","http://www.hwagyesa.org/","áôÛö?¡¢?Í±¡¢?İÖÔõŞÑ?ìíïïäÌÛÉç¯?£¬?Û¯??Ê¦Òö?êó?ûù ","","","4?? â©ëµó×3?õóÏ¢õó?ı¨£¬ã«2ÖØÍëÎß?î¤?Í¢ŞÑù»?  ","?×ù,â©ëµó×,í»æÔ,?Í¢ŞÑ,İÖ?,ß²ÊÇß£,ğó??ò¢",""
"43989","zh-CN","?àø??êÂ","https://chinese.visitseoul.net/attractions/2023021/CNPvsi1e5?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNPvsi1e5","  "," ?ÓŞ???ÖµñéäçÖØ5£¬ÓŞß£ÓŞù½ ","+82-2-961-5544","","blog.naver.com/cjswldls60","10:00~18:00£¬ñ²çéıÌãÓ","ñ²ìé~ñ²ŞÌ£¬ñ²×¿~ñ²ìí","àøÑ¢çé","Ëå›°ò¢?1??Ê©ïÍÔ×ó×2?õóÏ¢113Ú·","ÖÕïÁ, ñé?ö½?, ñé?ö½?, âÏ???á¶, Jegidong, ñé?ö½?",""
"1182","zh-CN","?ü£òĞèâ???ŞÍÙ×?","https://chinese.visitseoul.net/attractions/?ü£òĞèâ???ŞÍÙ×?/CNP001153?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP001153","121-883 âÏ?ã¼Ø«øİ??ü£òĞÊ¶46 ","04084 âÏ?ã¼Ø«øİ??ü£òĞÊ¶46 ","+82-2-332-9174","","http://www.yanghwajin.net/","¡Ø????£º10:00¡¢11:30¡¢14:00¡¢15:30 ¡ØêªÓ©¡¢õğ??ñéõÕ?Ê£¡¢???Üôğ«Íê??Ü×?","àøÑ¢ìé ~ àøÑ¢×¿","¡ØêªÓ©¡¢õğ??ñéõÕ?Ê£¡¢???Üôğ«Íê??Ü×?","2,6?? ùêïÌó×?7?õóÏ¢õó?ı¨£¬ÜÆú¼200Ú·   ","ï·?ß£âæ??Ò·?,ùêïÌó×,ùêïÌÔ×,ûğÓŞ,Ù×?,?ü£òĞèâ?ìÑ??ŞÍÙ×?,?Ò·?,?û³êÂ","?òğìÑá©â¢?,Ùéî¡äô÷çÔ³,?òğìÑ?éÄïÎ??"
"37309","zh-TW","à´÷çïÍ","https://tchinese.visitseoul.net/attractions/CH-à´÷çïÍ/TCP037164?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP037164"," âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡ÜõäÛÔ×201 ","03021 âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡óàëùÚ¦ÖØ11Ê¶4-1 ","+82-02-395-0100","","https://seoulmuseum.org/INTRO","11:00 ~ 17:00 (16:00 õÌı­ìıíŞ)","ñÎß²ò¸ñ²ìí","àøÑ¢ìé£¬àøÑ¢ì£ (¡Ø Ò®İ»ã¿Íïæ¨ù»Ñ¢î÷ÕÂñŞİá 02/26-05/31 ÍëıÌ)","","à´÷òïÍ,Ú¸âú,Ú¸âúÎ½",""
"10944","zh-CN","OVOCO Gallery","https://chinese.visitseoul.net/attractions/OVOCO-Gallery/CNP010944?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP010944","136-823 âÏ?ã¼àòİÁ?àòİÁÔ× 26-4?OVOCO Gallery","136-823 âÏ?ã¼àòİÁ?à»œüÖØ5Ê¶15 ","+82-2-742-7768","","http://blog.naver.com/ovocogallery","ñ²ìé~ñ²çé 11:00 ~17:00  ñ²×¿ 11:00~15:00","ñ²ìé~ñ²×¿","Øßñ²ìíĞàÛöïÒÍëıÌìí","4?? ?àòÓŞìıÏ¢ó×5?õóÏ¢ òÁñË?700Ú·ò¸Û®ò¢?ñéË¿¡æéÓ?ñËò¸711øµ××ïÁ¡æòÁñËò¸àòİÁvillageä¨í®ÖØ?éÓ?¡æ?150Ú·îñÛ°?ãÀ","?à´,ÙşûùüÀ?.???ÚĞ?ò¢,?à´,?ÑÑ,âÏ?,î÷?,?ÕÆ,Ùşûùî÷?,ñÁ?",""
"5336","ja","«½«¦«ë«ª«ê«ó«Ô«Ã«¯ÑÀÒ·Î½","https://japanese.visitseoul.net/attractions/Seoul-Olympic-Museum¡©JP/JPP005333?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP005333","138-749 «½«¦«ëã¼áæ÷ç?Û»ì¿Ô× 88«½«¦«ë«ª«ê«ó«Ô«Ã«¯«Ñ?«¯«Æ«ë","138-749 «½«¦«ëã¼«½«ó«Ñ(áæ÷ç)?«ª«ê«ó«Ô«Ã«¯«í448 (Û»ì¿Ô×)«½«¦«ë«ª«ê«ó«Ô«Ã«¯«Ñ?«¯«Æ«ë","+82-2-410-1354~5","","http://88olympic.kspo.or.kr","10:00?18:00(øÍÎ½ªÎ30İÂîñªŞªÇªËìıíŞ)","","êÅèøìí(êÅèøìíªÏõæğ®ìíªÎíŞùêªÏìÎìíıÌÎ½)¡¢1êÅ1ìí¡¢?ïáêÅĞàªÓõÕàª(??8êÅ15ìí)ªÎ?ìí","ò¢ù»?5?àÊ(Ø©ô¹Û°Øü)¡¸«ª«ê«ó«Ô«Ã«¯«´«ó«¦«©«ó(ùÛ??ÓŞ)¡¹?3ÛãõóÏ¢ªòõóªÆÔÔ2Ú¦ª«ªé3km(Óù?å³25İÂ)    ò¢ù»?8?àÊ¡¸«â«ó«Á«ç«ó«È«½«ó¡¹?1ÛãõóÏ¢ª«ªéÓù?4İÂ   ","ùÛ?«¹«İ?«ÄÑÀÒ·Î½,«½«¦«ë«ª«ê«ó«Ô«Ã«¯ÑÀÒ·Î½,ÚÏÚªÎ½,øÁóã«ª«ê«ó«Ô«Ã«¯,«¹«İ?«Ä,ÑÀÒ·Î½,«Ô«ç«ó«Á«ã«ó«ª«ê«ó«Ô«Ã«¯,î÷ãÆ,«ª«ê«ó«Ô«Ã«¯Íëê®",""
"878","zh-TW","îúî³ÑºÒ·Î½","https://tchinese.visitseoul.net/attractions/îúî³ÑºÒ·Î½/TCP000859?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP000859","140-021 âÏì³ã¼×£ß£Ï¡éÌß£Ô×1Ê¶ 8 ","04353 âÏì³ã¼éÌß£Ï¡Õó÷ÁêÂÖØ29 ","+82-2-709-3139","","https://www.warmemo.or.kr/front/main.do","ñÎì£ò¸ñÎìí09:30 ~ 18:00 øÍÎ½îñ£±á³ãÁ?ò­ËËÊ¦ìıÎ½ å¨ÊàËÒÛ¯£ºØßêÅõÌı­ìéîÜàøÑ¢ë»æÅíşËÒÛ¯ò¸20:00","","àøÑ¢ìé (åıÍıÎòíşîÜÊ£Ñ¢øĞùßàøÑ¢ìéãÁ£¬öÎî¤íşÊ£ı­ıÌãÓìéô¸)","4¡¢6ûÜàÊß²ÊÇò¢ó×1¡¢11¡¢12ûÜõóÏ¢õóÜÆú¼5İÂñ¤  1ûÜàÊÑõç½ó×1ûÜõóÜÆú¼10İÂñ¤ ","îúî³ÑºÒ·Î½,ÕöŞÈ,ÑºÒ·Î½,ÚÏÚªÎ½","Ùíî¡œÉ?á¶,Ùíî¡œÉïÎó³íŞ,ï³ğ¬,íÑòğìÑŞÍÜ×Ùâ÷»(ğÕó¨×ÇëõÔõ),Ùíî¡œÉ÷çÔ³"
"27585","zh-TW","ÔÔÓŞÚ¦Õéë´í¿âóô¥","https://tchinese.visitseoul.net/attractions/ÔÔÓŞÚ¦Õéë´í¿âóô¥/TCP027215?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP027215","100-729 âÏì³ã¼ñéÏ¡ëàò¨ÖØ6Ê¶18-21 ","04564 âÏì³ã¼ñéÏ¡?õ÷Ó¦ÖØ247 (Good Morning CityÏÅÚªñéãı) ","+82-2-2236-9135","","http://www.sta.or.kr","10:00 - 01:00 (KST)","","õğï½¡¢ñéõÕÓ×ìí","2¡¢4¡¢5ûÜàÊÔÔÓŞÚ¦ÕöŞÈÙşûùÍëê®ó×14ûÜõóÏ¢ 1¡¢4ûÜàÊÔÔÓŞÚ¦ó×8ûÜõóÏ¢","Õéë´íÀãòñéãı,ÔÔÓŞÚ¦,ÔÔÓŞÚ¦Õéë´í¿âóô¥, Õéë´í¿âóô¥, èâåŞí¿âó,ÏÅÚª,Õéë´í¿âóñéãı",""
"1824","zh-CN","ŞäòÃ?£¨»çÁ÷´Ü£©","https://chinese.visitseoul.net/attractions/ŞäòÃ?£¨»çÁ÷´Ü£©/CNP001824?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP001824","110-054 1-28, Sajik-dong, Jongno-gu, Seoul, Korea 1-28","03027 âÏ?÷å?ã¼?ÖØ?ŞäòÃÔ×9Ê¶5 ","+82-02-2148-2834","","","","","","3?? ÌØÜØ? 1?õóÏ¢õó?ı¨£¬ÜÆú¼10İÂ?  ","Í¯îé÷®?,ŞäòÃ?£¨»çÁ÷´Ü£©,?ŞÈ",""
"43562","en","Bulgwang Blacksmith Workshop","https://english.visitseoul.net/attractions/2023067/ENP433ns6?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP433ns6","  ","03396 15 Tongil-ro 69-gil, Eunpyeong-gu, Seoul ","+82-2-353-8543","","futureheritage.seoul.go.kr/web/investigate/aroundHeritageView.do?htId=225","Mon-Fri 08:00~18:30, Sat 08:00~15:00","Mon~Sat","Sunday","305 meters from Exit 7 of Bulgwang Station on Line 3?6","Traditional, Kitchen Knife, Eunpyeong District,OraeGage, Axe, Handmade, Bulgwangdong, Smithy, Forging,Hardware, Seoulfutureheritage",""
"23959","ja","«È«¯«¹«°«ó(??Ïà)à´ê¯Ô³","https://japanese.visitseoul.net/attractions/deoksugung-stone-wall-path-jp/JPP023563?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP023563","100-120 «½«¦«ëã¼ñé?ïöÔ×4 ","04519 «½«¦«ëã¼«Á«å«ó(ñé)?«»«¸«ç«ó«Ç«í19«®«ë24(«Á«ç«óÔ×¡¢ñÒùÛçÈ?ÓŞŞÅÎ½) ","+82-2-751-0734","","http://www.deoksugung.go.kr/","24ãÁÊà","","","ò¢ù»?1?àÊ/2?àÊ¡¸«·«Á«ç«ó¡¹?3ÛãõóÏ¢ª«ªé202m ","«½«¦«ëèâõó,??ÏàªÎà´ê¯Ô³,ñÎØÇèâõó,«½«¦«ë«Ç?«È«³?«¹,«½«¦«ëß¤?Ô³,«½«¦«ëªÎ?ª­ªäª¹ª¤íŞá¶,õÕªÎÙ£á¶,«½«¦«ë«í«Ş«ó«Á«Ã«¯ªÊíŞá¶,?ìÑªÈìé?ªË,?ª­ªäª¹ª¤Ô³,õÕªÎ«Ç?«È«³?«¹",""
"28353","ja","«È«¯«¹«êÒşÛ®","https://japanese.visitseoul.net/attractions/eagle-coffee-shop-jp/JPP028329?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP028329","  ","03776 à¤ÓŞÚ¦? «è«ó«»«í 36¡¢«È«¯«¹«ê«Ó«ë 8Í­ ","+82-2-363-1222","","futureheritage.seoul.go.kr/web/investigate/aroundHeritageView.do?htId=2253","11:00~24:00","?ìí","ªÊª·","2?àÊãæõ½?3ÛãõóÏ¢ª«ªé361m","«ª«ì«¬«²(ÖÕ?), «««Õ«§, «½«¦«ëÚ±?ë¶ß§, ãæõ½, «««Õ«§, «³?«Ò?, æÅá¦ÓŞ?, «¢«ó«Æ«£?«¯",""
"2122","zh-TW","ß²?Ô×Ê¶","https://tchinese.visitseoul.net/attractions/ß²?Ô×Ê¶-»ïÃ»µ¿-°ñ¸ñ±æ/TCP002121?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP002121","110-260 âÏì³ã¼ñ¤ÖØÏ¡Ê©üåÔ×ìéÓá ","110-260 âÏì³ã¼ñ¤ÖØß²?ÖØ 99 ","+82-2-120","","","","","","3ûÜàÊäÌÏĞó×1¡¢2¡¢3ûÜõóÏ¢ÜÆú¼10İÂñ¤","çİÕÆ,à´ííÖØ,ÌØÜØÏà,ñ£ÖØ,Ê©üåÔ×,İÁõ½,äÌÏĞó×,ß²?Ô×,??ôæ,ÙşûùÍöÊà,çİâú,ÎÃûùÚ¦,ÎÃûùÚ¦",""
"27601","zh-TW","ÑõÓŞÚ¦ã¼íŞÕéë´í¿âóô¥","https://tchinese.visitseoul.net/attractions/ÑõÓŞÚ¦ã¼íŞÕéë´í¿âóô¥/TCP027219?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP027219","100-804 âÏì³ã¼ñéÏ¡ÑõóÚÔ×52-1 ","04528 âÏì³ã¼ñéÏ¡ÑõÓŞÚ¦ã¼íŞ4Ê¶32 ","+82-2-752-1913","","http://www.sta.or.kr","10:00~19:00 (KST)","","","4ûÜàÊüåúçó×5ûÜõóÏ¢ 1ûÜàÊâÏì³ó×7ûÜõóÏ¢","ÑõÓŞÚ¦,Õéë´í¿âóñéãı,ÑõÓŞÚ¦ã¼íŞÕéë´í¿âóô¥,ÑõÓŞÚ¦ã¼íŞ, èâåŞí¿âó,Õéë´í¿âóô¥,Õéë´íÀãòñéãı",""
"27835","zh-CN","ÑõÓŞ?ã¼?Õéêıíª??","https://chinese.visitseoul.net/attractions/ÑõÓŞ?ã¼?Õéêıíª??/CNP027219?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP027219","100-804 âÏ?ñé?Ñõ?Ô×52-1 ","04528 âÏ?ã¼ñé?ÑõÓŞ?ã¼?4Ê¶32 ","+82-2-752-1913","","http://www.sta.or.kr","10:00~19:00 (KST)","","","4????ó×5?õóÏ¢ 1??âÏ?ó×7?õóÏ¢","Õéêı??ñéãı,ÑõÓŞ?ã¼?Õéêıíª??,Õéêıíª??, Õéêıíª?ñéãı,èâ?íª?,ÑõÓŞ?,ÑõÓŞ?ã¼?",""
"24716","en","Sukjeongmun Gate","https://english.visitseoul.net/attractions/Sukjeongmun-Gate/ENP023760?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP023760","110-230 25-1, Seongbuk-dong, Seongbuk-gu, Seoul ","03049 1, Daesagwan-ro, Seongbuk-gu, Seoul ","+82-2-747-2152","","","*March to October (Daily): 09:00 - 18:00 (Last entry at 16:00) *Daily - November to February (Daily): 10:00 - 17:00 (Last entry at 15:00)","","Closed Mondays","Subway Line 3, Anguk Station, Exit 2","SukjeongmunGate,CulturalHeritage,SeoulCityWall,HistoricSite,FourMajorGates,Outdoors,Bukdaemun,GyeongbokgungStation,AngukStation,SeoulWeekendTrip,Hiking,Gwanghwamun,Hanyangdoseong",""
"2070","ja","«­«à¡¤«¸«ç«ó«è«ó(ÑÑñ£çÀ)Ú¸âúÎ½","https://japanese.visitseoul.net/attractions/kim-chong-yung-museum-jp/JPP002066?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP002066","110-846 «½«¦«ëñ£ÖØ?øÁóÚÔ×114-8 ","03004 «½«¦«ë«Á«ç«ó«Î(ñ£ÖØ)?«Ô«ç«ó«Á«ã«ó32«®«ë20 (øÁóÚÔ×)","+82-2-3217-6484","","http://www.kimchongyung.com","3êÅ?10êÅ£¯10:00?18:00 11êÅ?2êÅ£¯10:00?17:00 (KST)","","êÅèøìí","ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(«½«¦«ëïÙİ¤??)¡¹?3ÛãõóÏ¢ª«ªé1711Ûã¡¢1020Ûã«Ğ«¹ªË?ó³¡¢«Ô«ç«ó«Á«ã«ó«É«ó¡¤«µ«à«½«ó«¢«Ñ?«Èù»ó³Óù?5İÂ ò¢ù»?4?àÊ¡¸«­«ë«à¡¹?3ÛãõóÏ¢ª«ªé7211Ûã«Ğ«¹ªË?ó³¡¢«Ô«ç«ó«Á«ã«ó«É«ó¡¤«µ«à«½«ó«¢«Ñ?«Èù»ó³Óù?5İÂ ò¢ù»?5?àÊ¡¸«¯«¡«ó«Õ«¡«à«ó¡¹?2ÛãõóÏ¢ª«ªé1711Ûã¡¢1020Ûã«Ğ«¹ªË?ó³¡¢«Ô«ç«ó«Á«ã«ó«É«ó¡¤«µ«à«½«ó«¢«Ñ?«Èù»ó³Óù?5İÂ ","øÁóÚÔ×,«­«à¡¤«¸«ç«ó«è«ó,«®«ã«é«ê?,ğÁÊ¾,Ú¸âúÎ½,ÑÑñ£çÀ",""
"2050","zh-TW","ÓìáøÏà","https://tchinese.visitseoul.net/attractions/ÓìáøÏà-´ö¼ö±Ã/TCP002046?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP002046","100-120 âÏì³ã¼ñéÏ¡ïöÔ× 5-1","100-120 âÏì³ã¼ñéÏ¡á¦ğóÓŞÖØ99 ","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr/","09:00?20:00£¨?øùĞàõÌı­ìıíŞãÁÊà?20:00£© 21:00 £¨×îËÒãÁÊà£©","ñÎì£?ñÎìí","ØßñÎìé","1ûÜàÊã¼ôæó×2ûÜõóÏ¢  ","ÓìáøÏà,ùÛÏĞîî÷Ö,âÏì³ÌØïÇ,ùÛÏĞÍ¯ÏàÕéë´,âÏì³å¨ÌØ,ïöÔ×Ê¶,ÍÔğóñıÖØ,âÏì³ú¼ïï,ùÛÏĞÍ¯Ïà,âÏì³ÜÆú¼û¿ËÛô¥,Í¯Ïà,âÏì³ù±ËÛÕéë´ÌØïÇ,âÏì³Õéë´,å¨ë´ÓìáøÏà,ïöÔ×à´ííÖØ,ÓìáøÏàÕéë´,ùÛÏĞÕöŞÈ","íÑòğìÑŞÍÜ×Ùâ÷»(ğÕó¨×ÇëõÔõ),Ùíî¡œÉ?á¶"
"44086","en","La Pluma & Bohemian","https://english.visitseoul.net/attractions/2023051/ENPlzuy5x?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPlzuy5x","  ","02842 18 Goryeodae-ro 27-gil, Seongbuk-gu, Seoul ","+82-2-927-7949","","","Mon-Fri 12:00~17:00","Monday through Friday","Saturday, Sunday","121 meters from Exit 2 of Anam Station on Line 6","OraeGage, Cafe, Drip Coffee, Coffee, Coffee Shop, Coffee Famous Place, Barista, Korea University",""
"24089","en","Sulla-gil Road","https://english.visitseoul.net/attractions/Sulla-gil-Road/ENP001932?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP001932","110-380 Wonnam-dong, Jongno-gu, Seoul ","03134 Seosulla-gil, Jongno-gu, Seoul ","+82-2-120","","","","","","* Subway Line 3, Anguk Station, Exit 4 (5 mins on foot) * Subway Lines 1/3/5, Jongno 3(sam)-ga Station, Exit 7 (5 mins on foot)","Dongsulla-gil,Literature,Seosulla-gil,Jongno,CultureSpace,Sulla-gil,AngukStation,History,LiteraryTrail,Gwanghwamun",""
"23489","ja","«­«ç«à«¸«§(ÌÅ?)«Á«ç«ó«½«ó(ï÷àÀ)Ú¸âúÎ½","https://japanese.visitseoul.net/attractions/gyeomjae-jeongseon-art-museum-jp/JPP001961?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP001961","157-801 «½«¦«ëã¼Ë°à¤?Ê¥åÕÔ× 243-1 ÌÅ?ï÷àÀÚ¸âúÎ½","07522 «½«¦«ëã¼«««ó«½(Ë°à¤)?«ä«ó«Á«ç«ó«í47«®«ë36 (Ê¥åÕÔ×)«­«ç«à«¸«§(ÌÅ?)«Á«ç«ó«½«ó(ï÷àÀ)Ú¸âúÎ½","+82-2-2659-2206","","http://gjjs.or.kr/","3êÅ?10êÅ10:00-18:00 11êÅ?2êÅ10:00-17:00 ÷Ïèøìí¡¢ìíèøìí¡¢õæìí10:00-17:00 ¡ØìıíŞªÏøÍÎ½ãÁÊàªÎ1ãÁÊàîñªŞªÇ ¡Øú°?ãÁÊà£º11:00¡¢15:00 (KST)","","êÅèøìí¡¢1êÅ1ìí¡¢?ïáêÅĞàªÓõÕàª(??8êÅ15ìí)ıÌÎ½","ò¢ù»?9?àÊ¡¸«ä«ó«Á«ç«ó«Ò«ã«ó«®«ç¡¹?1ÛãõóÏ¢ªèªê400mòÁòäª·¡¢SK«¬«½«ê«ó«¹«¿«ó«ÉªÇéÓï¹ª·100m","ï÷àÀ,ÌÅ?ï÷àÀÑÀÒ·Î½,ÌÅ?,ÌÅ?ï÷àÀÚ¸âúÎ½,«Á«ç«ó«½«óÚ¸âúÎ½,?ÌØß£â©?,ß£â©?,Ùşûù,Ú¸âúÎ½",""
"1791","ja","«È«µ«ó(Óöß£)Íëê®","https://japanese.visitseoul.net/attractions/dosan-park-jp/JPP001789?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP001789","135-120 «½«¦«ëã¼Ë°Ñõ?ãæŞŞÔ× 649-9","06020 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«È«µ«ó«Ç«í45«®«ë20 (ãæŞŞÔ×)","+82-2-3423-6245","","","Íëê®24ãÁÊà¡¢«È«µ«ó(Óöß£)ÑÀÒ·Î½?ìí 10:00~17:00 KST","","Ò´ñéÙíıÌ («È«µ«ó(Óöß£)ÑÀÒ·Î½ªÏìíèøìí¡¢?ïáêÅªÈõÕàª(?İÎ)ªÎÊÀÖ§ıÌ¡¢á¡÷«ğ®)","ò¢ù»?3?àÊ¡¸«¢«Ã«¯«¸«ç«ó¡¹?2Ûã¡¢3ÛãõóÏ¢ª«ªéÓù?10İÂ","Óöß£Íëê®,ää?ïÍ,î÷ãÆ,Íëê®,Ë°Ñõ,?ŞÈ,«¢«×«¯«¸«ç«ó","«Ğ«ê«¢«Õ«ê?«È«¤«ì,«¢«¯«»«·«Ó«ê«Æ«£"
"24947","zh-CN","â¢?í¹óøøĞ?","https://chinese.visitseoul.net/attractions/â¢?í¹óøøĞ?/CNP024905?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP024905","  ","03036 ?ÖØ?í¹ùÇ?ÖØ15Ê¶18 ","+82-2-722-8389","","https://mo1022.modoo.at/","07:00~18:00","øÁìí","ñ²ØÇ","Ëå›°3??ÌØÜØ?ó×2?õóÏ¢626Ú·","ÖÕïÁ, Ú¸ãİ, ò¹Ø«óøí»ğ¾óÉ, HyojaØüøĞïÁ, ??ã¼?, í»ğ¾óÉ",""
"1845","zh-TW","å·úÖá¡ÓÑ","https://tchinese.visitseoul.net/attractions/å·úÖá¡ÓÑ/TCP001845?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP001845","100-858 âÏì³ñéÏ¡ñé×ùÔ× 149-2","100-858 âÏì³ã¼ñéÏ¡?÷çÖØ447-1 ","+82-2-312-5220","","http://www.yakhyeon.or.kr/","[Ú¯ß®ãÁÊà] ñÎìé ß¾çí6ïÇ / ñÎì£ ß¾çí10ïÇ¡¢?Êà7ïÇ / ñÎß² ß¾çí6ïÇ¡¢ß¾çí10ïÇ / ñÎŞÌ ß¾çí10ïÇ¡¢?Êà7ïÇ / ñÎçé ß¾çí10ïÇ(á¡ò¢Ú¯ß®) - à¤á³Ú¦Íëê®Ò®£¬åÚà¤á³Ú¦âæ?á¡ò¢úéåÀ÷²ù»Û°òäú¼ / ñÎ×¿ ?Êà6ïÇ(ñÎ×¿÷åîğ) / ñ«ìí ß¾çí6ïÇ¡¢9ïÇ 30İÂ(ÏĞá³¡¢ÏĞÍÔñéİ»ùÊßæÚ¯ß®)¡¢11ïÇ (?ñéÚ¯ß®)¡¢?Êà 6ïÇ (?Ò´Ú¯ß®) *Ú¯ß®ãÁÊàîñı­ÜôËÒÛ¯á¡ÓÑ î÷ÕÂÎ½ 09:00~18:00","","ÙÒêóÚ¯ß®ñıìí","4ûÜàÊâÏì³ó×1¡¢2ûÜõóÏ¢õó£¬ğôäÅô¸õ±ã¼îÜı­Ú¦òäËÛ£¬î¢ë¦ïáÚ¦(à¤İ»ó×Û°ú¾)õóÕÎı­£¬èÙà¤İ»ó×øĞ?â¥Ëìô¥Û°ú¾òÁú¼ 2ûÜàÊõ÷ïáÖØó×4¡¢5ûÜõóÏ¢","ñé×ùÔ×,Ê¨ÓìãÒ?ÓÑ,ğó?á¡ò¢,ÕöŞÈ,ô¸ñ«?,ÑºÒ·Î½,å·úÖá¡ÓÑ,á¡ÓÑ,âÏì³ó×",""
